PLAYER,KILLS,K PROJ.,HEADSHOTS,HS PROJ.,TEAM
device,32.0,31.6,11.00,10.7,A
HooXi,25.5,24.6,14.50,13.3,A
Jabbi,29.0,28.6,17.00,17.0,A
Staehr,29.0,29.3,15.00,14.2,A
stavn,31.5,31.2,15.00,15.9,A
AW,28.0,28.8,15.50,15.5,AMK
kAlash,27.5,27.6,16.50,16.2,AMK
sFade8,26.0,25.2,15.00,14.7,AMK
sstiNiX,26.0,25.7,15.50,15.2,AMK
jottAAA,27.5,28.9,14.50,15.9,AUR
MAJ3R,23.5,24.5,11.00,11.6,AUR
Wicadia,31.5,32.5,18.00,17.7,AUR
woxic,29.5,30.8,10.00,9.9,AUR
XANTARES,31.5,31.6,17.50,17.7,AUR
hyped,31.0,32.0,9.50,10.6,BIG
JDC,32.0,31.3,16.00,15.7,BIG
Krimbo,30.0,28.7,15.00,14.3,BIG
kyuubii,27.5,27.3,13.00,13.4,BIG
tabseN,26.5,26.9,13.50,13.8,BIG
bl1x1,27.0,27.2,17.50,17.5,CS
FenomeN,31.0,29.8,10.00,9.5,CS
glowiing,32.0,30.5,18.50,18.1,CS
lov1kus,29.5,30.3,14.00,14.0,CS
notineki,28.0,26.9,15.00,14.4,CS
Dytor,30.0,29.4,14.50,15.1,ECL
FORSYY,32.0,32.4,10.00,10.9,ECL
M1key,31.0,30.0,14.50,13.1,ECL
nbqq,29.5,29.4,15.00,15.0,ECL
The eLiVe,25.0,25.6,12.50,13.1,ECL
Anlelele,29.5,30.8,12.50,13.5,ECS
Kristou,30.0,30.1,12.50,11.9,ECS
nut nut,29.5,29.4,17.50,17.0,ECS
sirah,32.0,32.1,17.50,17.7,ECS
TMB,26.0,25.2,14.50,14.3,ECS
bondik,27.0,28.0,15.00,14.4,FB
j3kie,30.0,31.6,20.50,21.2,FB
Marix,28.5,29.0,15.50,15.8,FB
Smash,28.5,28.1,15.00,14.6,FB
t3ns1on,31.0,30.5,10.50,9.9,FB
FalleN,27.5,26.9,14.00,12.7,FUR
KSCerato,31.0,31.6,17.00,17.0,FUR
molodoy,31.0,32.4,9.50,10.7,FUR
YEKINDAR,27.0,26.5,16.00,15.7,FUR
yuurih,31.5,29.8,14.50,13.8,FUR
hades,30.0,31.4,11.00,10.9,G2
HeavyGod,31.5,32.8,17.50,18.7,G2
malbsMd,30.0,31.6,20.50,21.6,G2
Snax,24.0,24.7,12.00,12.6,G2
brnz4n,27.5,26.0,16.00,16.3,MIBR
exit,28.0,27.6,12.50,13.6,MIBR
insani,31.5,30.5,16.00,16.3,MIBR
Lucaozy,28.0,28.1,13.50,13.5,MIBR
saffee,30.0,30.0,10.00,9.5,MIBR
afro,31.0,30.2,11.50,11.3,MONT
GIZMY,26.0,25.4,14.00,13.9,MONT
hAdji,31.5,30.3,17.00,17.2,MONT
leen,27.0,26.5,16.00,16.4,MONT
ryu,32.5,31.6,18.00,17.3,MONT
Aleksib,24.5,24.8,10.50,10.2,NAV
B1t,32.5,32.9,20.50,20.0,NAV
iM,29.5,30.9,14.50,15.1,NAV
jL,30.5,30.2,17.50,17.7,NAV
w0nderful,30.5,29.9,11.00,11.5,NAV
BTN,23.0,23.8,12.50,12.7,NEX
lauNX,32.5,33.5,18.50,19.4,NEX
ragga,27.0,27.7,14.50,14.3,NEX
s0und,29.5,29.9,19.00,19.6,NEX
XELLOW,31.0,30.7,13.50,12.8,NEX
arrozdoce,27.0,28.4,15.00,15.5,NiP
ewjerkz,29.5,30.4,16.50,16.0,NiP
R1nkle,33.5,32.8,13.00,12.5,NiP
sjuush,31.5,31.9,17.00,16.5,NiP
Snappi,26.5,26.4,14.50,13.8,NiP
biguzera,27.0,27.8,15.50,15.6,PN
dav1deuS,30.5,32.3,17.00,17.8,PN
nqz,31.0,32.0,10.00,10.6,PN
Snow,26.5,27.8,13.50,13.7,PN
BELCHONOKK,31.0,31.5,15.00,14.1,PV
Jame,32.0,31.1,10.00,10.0,PV
nota,29.5,29.8,17.50,17.3,PV
Qikert,27.5,27.5,16.00,14.7,PV
TRAVIS,26.0,27.5,14.00,14.5,PV
blytz,28.0,28.8,15.00,15.2,SAN
bnox,31.0,30.4,18.50,18.0,SAN
danistzz,31.0,30.5,12.00,10.5,SAN
mASKED,23.5,24.1,11.50,11.4,SAN
beastik,27.5,27.3,16.00,16.1,SIN
MoriiSko,28.0,29.1,16.50,17.1,SIN
Pepo,31.0,31.1,11.50,10.8,SIN
SHOCK,31.5,30.5,17.50,17.6,SIN
ZEDKO,29.0,29.7,18.50,17.4,SIN
electronic,26.5,28.0,12.00,13.6,VP
fame,28.5,29.1,16.50,16.5,VP
FL1T,31.5,30.9,16.00,15.5,VP
FL4MUS,27.5,28.6,16.00,17.1,VP
ICY,30.5,29.8,10.50,10.2,VP
aVN,26.0,26.1,13.00,14.6,ZT
brutmonster,29.5,28.3,9.50,9.7,ZT
Cjoffo,28.0,29.2,17.50,18.0,ZT
nEMANHA,31.0,31.3,18.00,19.3,ZT
simke,28.5,29.0,16.50,17.1,ZT